"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-miR-1277-5p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-338-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-329-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-376c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,11,0,1,8,5,0,5,2,5,5,18,3,1,1,2,12,8,2
"hsa-miR-181c-5p",0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,1,0,0,0,2,2,0,3,2,0,1,1,1,0,3,1,1,0,0,2,1,0,0,2,0,1,0,0,0,0,0
"hsa-miR-181a-5p",68,13,15,150,51,62,55,52,33,26,29,26,42,94,39,55,45,19,42,28,59,54,39,110,80,63,58,153,198,184,113,22,368,27,51,127,126,24,34,66,66,66,82,65,60,10,55,136,90,176,232,605,37,70,35,45,61,73,66,67,44,45,6,50,59,49,33
"hsa-miR-181b-5p",2,2,4,24,8,8,7,10,2,8,11,5,10,29,7,9,11,12,7,8,11,14,13,26,17,13,11,39,34,34,20,8,93,8,4,20,25,9,4,5,15,14,13,15,11,0,16,34,8,29,32,111,14,8,15,9,27,17,19,23,20,3,6,11,21,19,5
"hsa-miR-181d-5p",0,0,0,9,1,0,0,2,1,2,0,0,0,5,0,0,0,0,0,1,1,1,1,2,0,2,1,1,2,3,2,0,9,0,0,0,2,0,0,0,3,1,0,3,1,0,3,1,0,1,4,0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,2
"hsa-miR-181c-3p",0,1,0,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,2,0,0,0,9,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,0,3,2,2,1,4,1,1,4,5,0,1,0,0,2,1,0
"hsa-miR-100-5p",40,2,2,8,13,17,9,2,3,3,2,0,5,12,6,6,6,9,5,2,11,22,4,9,9,13,6,10,12,9,17,0,17,3,16,6,26,4,4,8,12,4,10,8,5,0,2,16,6,17,5,44,40,8,24,12,16,61,10,22,1,1,54,8,16,6,9
"hsa-miR-99a-5p",43,4,7,5,26,14,18,18,3,15,5,4,8,45,23,21,35,17,38,9,29,39,37,42,30,24,14,41,65,60,29,8,63,3,30,31,58,12,18,16,36,24,25,18,25,0,16,44,21,50,43,158,4,9,12,17,13,64,12,7,5,9,1,4,10,12,8
"hsa-miR-122-3p",3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,4,1,1,0,3,0,0,0,0,0
"hsa-miR-4636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-193b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-452-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-483-5p",68,8,5,15,25,15,17,6,12,11,13,12,24,43,19,32,18,24,50,16,35,66,46,18,17,24,29,41,30,41,27,14,14,7,17,24,21,20,10,20,19,16,23,12,28,5,21,33,29,7,7,47,7,4,4,14,27,41,10,2,6,2,0,4,7,7,6
"hsa-miR-576-3p",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"hsa-miR-3942-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179",1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6819-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"hsa-miR-22-3p",39,12,4,95,17,36,12,16,8,6,14,13,16,30,15,13,21,16,10,3,20,31,11,41,14,23,21,32,18,22,20,14,301,16,6,51,31,8,15,13,26,19,10,57,45,6,14,21,28,119,46,125,6,7,3,3,15,13,13,10,5,8,3,4,6,5,10
"hsa-miR-28-5p",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,10,2,1,2,2,1,0,0,2,0,4,0,0,0,2,2,0,4,2,5,5,7,3,2,7,9,4,12,10,2,2,0,6,2,5
"hsa-miR-708-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-7845-5p",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"hsa-miR-3158-3p",1,0,0,9,0,1,0,1,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4716-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"hsa-miR-512-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-148b-5p",4,0,1,4,0,0,1,0,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,4,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-369-3p",1,1,0,1,1,0,1,0,0,0,3,0,0,2,1,1,0,1,3,3,1,0,1,2,1,0,0,2,5,0,2,1,7,1,0,2,3,1,0,0,1,0,1,0,0,0,14,1,0,7,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"hsa-miR-410-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-34c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-154-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"hsa-miR-487a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-382-3p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,9,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-362-5p",1,0,0,2,1,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,0,5,0,1,0,2,0,1,0,0,0,2,2,3,0,0,5,0,2,0,7,0,1,0,2,0,4,1,3,0,1,0,1,0,0,0
"hsa-miR-501-5p",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0
"hsa-miR-487b-3p",0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,0,0,2,4,0,2,0,24,0,0,0,0,0,0,0,1,0,1,0,4,0,4,1,2,9,1,4,1,1,0,0,0,0,1,5,0,0,0,0,1,1,1
"hsa-miR-3200-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,2,1,1,0,0,2,1,0,2
"hsa-miR-425-5p",141,34,35,374,196,184,73,155,66,59,45,44,50,132,84,99,91,71,157,54,124,108,90,173,87,108,91,117,169,143,137,42,2297,60,67,204,251,73,73,86,155,152,105,229,101,11,189,131,104,326,224,401,64,54,43,56,68,150,62,130,101,43,5,26,94,103,21
"hsa-miR-501-3p",8,1,2,18,9,10,5,7,3,0,4,5,3,12,3,6,1,7,1,5,7,9,4,8,1,3,3,7,2,11,7,3,27,2,2,18,10,1,4,4,6,3,6,14,5,0,8,5,2,10,2,15,0,0,1,2,1,1,0,0,0,0,0,0,0,2,0
"hsa-miR-502-3p",3,0,1,9,1,5,0,2,0,0,0,0,0,2,2,2,1,3,4,2,2,1,1,2,2,1,1,4,2,1,2,0,11,0,2,0,3,1,2,3,2,2,3,5,2,1,1,2,1,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1246",30,39,24,70,24,216,43,48,85,41,35,30,32,53,33,83,19,36,33,24,155,36,97,47,65,34,37,29,73,62,23,147,39,100,53,64,223,30,266,161,119,66,36,583,117,11,68,84,139,86,129,113,20,76,78,22,66,81,50,68,53,43,24,45,71,43,46
"hsa-miR-652-3p",10,0,7,28,7,4,5,7,3,2,4,5,0,3,1,3,2,3,2,1,5,0,7,8,0,1,2,7,3,2,5,1,61,1,0,8,7,0,2,2,7,2,8,9,5,1,7,1,0,22,2,14,47,42,25,35,68,121,63,124,43,23,9,19,67,63,19
"hsa-miR-10399-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4778-5p",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-363-3p",30,9,9,91,49,98,15,15,6,11,9,7,10,37,8,34,10,17,27,8,12,14,30,22,13,18,12,73,39,38,24,14,72,19,19,44,31,10,11,14,18,21,22,75,28,2,28,22,19,36,56,146,0,0,2,0,1,1,0,4,1,0,0,1,0,3,3
"hsa-miR-4699-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3613-3p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2
"hsa-miR-520g-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
